Wall time,Step,Value
1531049587,3099,0.980000019
1531049587,3103,0.99000001
1531049588,3107,1
1531049589,3113,0.99000001
1531049590,3120,1
1531049591,3122,1
1531049591,3127,0.99000001
1531049593,3134,0.980000019
1531049593,3137,1
1531049593,3138,1
1531049594,3143,0.980000019
1531049594,3144,0.99000001
1531049594,3145,1
1531049595,3147,0.99000001
1531049595,3150,0.99000001
1531049596,3155,0.99000001
1531049596,3158,0.99000001
1531049596,3159,0.99000001
1531049597,3161,0.959999979
1531049598,3167,1
1531049599,3177,0.99000001
1531049600,3184,0.980000019
1531049601,3187,0.99000001
1531049601,3188,1
1531049602,3195,0.99000001
1531049602,3196,1
1531049602,3197,1
1531049602,3198,0.980000019
1531049603,3203,1
1531049604,3206,1
1531049607,3230,0.99000001
1531049608,3233,0.99000001
1531049609,3235,0.99000001
1531049609,3240,1
1531049610,3243,0.99000001
1531049610,3244,0.99000001
1531049610,3246,0.99000001
1531049610,3247,1
1531049611,3254,0.99000001
1531049612,3256,0.99000001
1531049612,3258,0.970000029
1531049613,3267,1
1531049614,3272,1
1531049614,3273,0.99000001
1531049615,3279,0.980000019
1531049616,3281,1
1531049616,3283,0.980000019
1531049616,3285,1
1531049617,3289,0.980000019
1531049617,3292,1
1531049618,3296,0.99000001
1531049619,3305,0.99000001
1531049620,3306,0.980000019
1531049620,3307,0.99000001
1531049621,3313,0.99000001
1531049622,3321,1
1531049623,3325,0.980000019
1531049623,3327,0.99000001
1531049623,3328,0.99000001
1531049623,3329,1
1531049624,3333,0.970000029
1531049625,3338,0.99000001
1531049626,3345,1
1531049627,3353,1
1531049628,3357,0.99000001
1531049628,3361,1
1531049629,3363,1
1531049629,3369,1
1531049630,3372,0.99000001
1531049630,3374,1
1531049631,3376,1
1531049631,3378,0.99000001
1531049631,3381,0.99000001
1531049632,3383,0.980000019
1531049632,3386,0.99000001
1531049633,3390,0.99000001
1531049633,3392,0.980000019
1531049634,3398,1
1531049635,3403,0.980000019
1531049635,3404,0.99000001
1531049635,3408,0.980000019
1531049637,3415,1
1531049638,3426,0.99000001
1531049639,3429,1
1531049639,3430,1
1531049639,3433,0.99000001
1531049640,3438,0.980000019
1531049641,3444,0.980000019
1531049641,3445,1
1531049642,3449,1
1531049642,3451,1
1531049643,3457,0.99000001
1531049643,3458,0.99000001
1531049644,3460,1
1531049644,3464,0.970000029
1531049645,3471,0.99000001
1531049646,3477,1
1531049647,3480,1
1531049648,3486,1
1531049649,3494,0.980000019
1531049649,3497,0.99000001
1531049650,3499,1
1531049650,3500,0.99000001
1531049651,3505,1
1531049651,3506,1
1531049652,3509,0.980000019
1531049652,3511,0.99000001
1531049652,3512,0.99000001
1531049652,3514,1
1531049653,3519,1
1531049655,3529,1
1531049656,3535,0.99000001
1531049656,3537,1
1531049656,3538,1
1531049657,3542,1
1531049657,3543,1
1531049657,3547,0.970000029
1531049658,3549,1
1531049659,3555,1
1531049659,3556,1
1531049659,3559,1
1531049660,3563,1
1531049662,3575,1
1531049663,3580,1
1531049663,3581,1
1531049663,3583,1
1531049665,3592,0.980000019
1531049665,3593,0.99000001
1531049666,3599,0.99000001
1531049666,3600,1
1531049666,3602,0.99000001
1531049668,3614,0.99000001
1531049669,3618,1
1531049669,3620,1
1531049669,3622,1
1531049670,3625,0.99000001
1531049670,3628,0.99000001
1531049672,3637,0.99000001
1531049673,3643,0.980000019
1531049673,3645,1
1531049674,3656,0.980000019
1531049675,3657,0.99000001
1531049676,3663,0.99000001
1531049677,3670,1
1531049680,3694,1
1531049681,3695,1
1531049681,3697,0.99000001
1531049681,3700,0.99000001
1531049682,3702,1
1531049685,3723,0.99000001
1531049686,3726,0.99000001
1531049686,3730,1
1531049686,3731,0.980000019
1531049687,3732,0.99000001
1531049687,3734,0.980000019
1531049688,3738,1
1531049688,3741,1
1531049689,3743,1
1531049689,3745,1
1531049690,3752,0.99000001
1531049691,3755,0.99000001
1531049691,3756,1
1531049691,3759,1
1531049692,3764,1
1531049693,3772,0.980000019
1531049694,3776,1
1531049694,3778,1
1531049694,3780,0.99000001
1531049695,3781,1
1531049695,3787,0.99000001
1531049696,3791,1
1531049696,3793,0.980000019
1531049697,3795,1
1531049697,3798,1
1531049699,3807,1
1531049699,3809,1
1531049699,3810,1
1531049700,3814,1
1531049700,3819,1
1531049701,3821,1
1531049702,3831,1
1531049703,3833,0.99000001
1531049703,3835,0.99000001
1531049705,3848,0.970000029
1531049706,3852,0.99000001
1531049706,3854,0.99000001
1531049708,3864,1
1531049708,3869,1
1531049709,3876,1
1531049710,3879,1
1531049710,3881,0.99000001
1531049711,3887,1
1531049712,3894,1
1531049714,3901,1
1531049714,3902,0.99000001
1531049714,3903,0.99000001
1531049714,3905,0.99000001
1531049715,3908,0.99000001
1531049715,3910,0.99000001
1531049716,3916,1
1531049716,3920,1
1531049717,3921,1
1531049718,3927,1
1531049718,3928,1
1531049718,3929,1
1531049720,3934,0.99000001
1531049720,3935,1
1531049720,3939,1
1531049723,3950,1
1531049724,3956,0.99000001
1531049725,3960,0.99000001
1531049726,3962,1
1531049726,3965,0.99000001
1531049727,3967,1
1531049729,3973,1
1531049729,3976,0.980000019
1531049730,3980,1
1531049731,3984,1
1531049732,3986,1
1531049732,3989,1
1531049733,3991,0.99000001
1531049734,3995,1
1531049734,3997,0.99000001
1531049734,3999,0.980000019
